aX,aY,aZ,gX,gY,gZ
-6.68,8.80,-2.46,-0.21,-4.17,-0.66
-6.49,10.27,-6.43,-0.03,-3.83,-0.68
-6.32,10.08,-10.28,0.22,-3.46,-0.61
-5.98,10.00,-14.43,0.24,-3.04,-0.58
-5.68,10.78,-18.25,0.15,-2.48,-0.48
-6.00,10.79,-20.89,0.08,-1.80,-0.30
-6.45,10.41,-22.20,-0.01,-1.04,-0.18
-6.37,9.98,-22.14,-0.15,-0.26,-0.08
-5.51,9.71,-20.93,-0.37,0.51,0.02
-4.83,9.77,-18.92,-0.51,1.17,0.11
-4.10,9.65,-16.21,-0.51,1.77,0.17
-3.88,8.97,-13.06,-0.51,2.32,0.24
-3.90,8.48,-10.03,-0.55,2.76,0.29
-4.38,8.17,-6.96,-0.54,3.16,0.31
-4.88,7.55,-3.88,-0.46,3.49,0.30
-4.95,6.93,-0.69,-0.37,3.75,0.26
-5.08,6.85,2.50,-0.31,3.92,0.23
-5.93,6.37,4.93,-0.31,4.01,0.21
-6.75,6.54,7.79,-0.34,4.18,0.12
-7.33,7.25,10.84,-0.22,4.27,0.04
-7.53,7.16,14.55,-0.09,4.31,-0.00
-7.61,7.12,18.36,-0.10,4.19,-0.09
-6.96,7.87,20.77,-0.13,3.95,-0.17
-6.55,8.92,23.15,-0.11,3.75,-0.15
-5.62,9.89,26.51,-0.01,3.53,-0.13
-4.81,10.49,30.34,0.02,3.24,-0.11
-3.73,11.48,33.58,-0.00,2.82,-0.09
-3.03,12.24,36.20,0.06,2.36,-0.10
-2.23,12.89,38.14,0.30,1.85,-0.12
-1.22,13.13,39.79,0.53,1.30,-0.12
-0.41,13.33,41.37,0.68,0.68,-0.07
0.33,12.56,41.75,0.72,-0.07,0.04
-0.06,11.53,39.74,0.57,-0.83,0.14
-0.91,10.83,36.56,0.49,-1.46,0.18
-2.06,9.69,33.16,0.61,-1.94,0.16
-3.43,8.72,30.21,0.74,-2.31,0.02
-4.23,8.69,26.73,0.88,-2.64,-0.13
-4.49,8.35,21.78,0.81,-2.95,-0.16
-3.88,7.97,17.38,0.50,-3.17,-0.14
-3.68,8.26,11.93,0.13,-3.43,-0.11
-4.81,8.82,5.40,-0.01,-3.57,-0.16
-6.11,9.95,-2.01,0.16,-3.38,-0.24
-6.69,10.20,-7.61,0.50,-2.96,-0.31
-5.69,10.39,-11.21,0.62,-2.43,-0.31
-5.16,10.32,-12.99,0.61,-1.92,-0.22
-4.60,9.76,-13.52,0.44,-1.41,-0.10
-3.70,9.81,-12.41,0.14,-0.83,-0.04
-2.41,10.19,-9.29,-0.07,-0.28,0.07
-1.59,9.67,-5.34,-0.14,0.15,0.13
-0.91,9.31,-1.42,-0.20,0.47,0.13
-0.19,9.39,2.89,-0.23,0.69,0.12
0.93,9.07,6.75,-0.23,0.77,0.13
1.76,8.98,10.06,-0.22,0.76,0.12
1.69,9.24,11.79,-0.13,0.60,0.12
1.07,9.50,11.89,0.05,0.47,0.13
0.39,9.39,11.88,0.17,0.41,0.13
-0.08,9.05,11.78,0.21,0.37,0.15
-0.85,10.39,13.32,0.08,0.21,-0.10
-0.75,10.81,14.38,0.05,0.17,-0.08
-0.45,11.20,15.75,0.05,0.11,-0.03
-0.36,11.19,17.08,0.10,-0.01,-0.00
-0.06,11.45,18.10,0.17,-0.16,0.01
-0.06,11.47,18.60,0.28,-0.35,0.04
-0.29,11.17,18.96,0.34,-0.51,0.06
-0.42,10.85,19.21,0.40,-0.68,0.05
-0.48,10.62,19.47,0.37,-0.85,0.02
-0.56,10.76,19.55,0.30,-1.06,0.02
-0.63,10.55,19.40,0.17,-1.28,0.05
-1.13,10.12,18.82,-0.00,-1.50,0.08
-1.09,9.81,18.19,-0.09,-1.69,0.06
-0.78,9.93,17.39,-0.05,-1.90,0.01
-0.78,9.69,16.38,0.08,-2.12,-0.02
-0.87,9.52,14.96,0.11,-2.37,-0.01
-1.50,8.99,12.89,0.03,-2.57,-0.00
-2.29,8.53,10.05,-0.18,-2.66,-0.01
-3.15,8.26,6.98,-0.37,-2.61,-0.08
-3.74,7.96,4.53,-0.40,-2.45,-0.22
-3.92,8.71,2.26,-0.26,-2.20,-0.39
-3.63,9.28,0.42,0.10,-1.94,-0.51
-3.24,9.93,-1.06,0.29,-1.71,-0.56
-2.93,11.07,-2.87,0.36,-1.55,-0.48
-3.14,10.64,-5.64,0.29,-1.45,-0.26
-3.79,9.59,-9.13,-0.10,-1.29,-0.06
-4.59,8.93,-12.91,-0.44,-0.91,0.09
-5.10,8.74,-15.36,-0.55,-0.33,0.13
-5.46,8.56,-16.39,-0.44,0.30,0.10
-5.19,8.62,-15.84,-0.31,0.94,0.04
-5.01,8.95,-14.62,-0.23,1.48,0.04
-5.04,8.53,-13.03,-0.27,1.94,0.08
-4.94,8.30,-11.37,-0.49,2.37,0.18
-5.12,7.35,-9.35,-0.65,2.78,0.26
-5.15,6.04,-6.07,-0.72,3.18,0.23
-5.41,5.77,-2.76,-0.74,3.49,0.14
-5.79,5.78,1.03,-0.63,3.75,0.03
-6.42,6.08,5.14,-0.51,3.96,-0.07
-6.75,6.32,9.76,-0.39,4.08,-0.14
-7.12,5.95,14.03,-0.33,4.05,-0.18
-6.53,6.13,18.02,-0.46,3.95,-0.23
-6.05,7.12,21.35,-0.61,3.79,-0.27
-5.89,8.87,24.67,-0.54,3.57,-0.29
