aX,aY,aZ,gX,gY,gZ
-3.23,4.87,-26.54,0.22,-0.85,0.06
-0.86,-0.71,0.99,-0.15,-0.18,0.10
-0.96,-0.64,0.96,-0.16,-0.22,0.10
-0.94,-0.72,0.85,-0.12,-0.25,0.09
-1.00,-0.79,0.83,-0.11,-0.27,0.06
-1.22,-0.83,1.20,-0.16,-0.31,0.06
-1.18,-0.39,1.21,-0.24,-0.37,0.08
-1.48,-0.63,0.48,-0.25,-0.45,0.12
-1.36,-1.15,-0.46,-0.23,-0.47,0.09
-1.26,-1.32,-1.44,-0.24,-0.40,0.04
-1.22,-0.99,-1.99,-0.28,-0.32,-0.01
-0.82,-0.49,-2.28,-0.26,-0.28,-0.01
-0.51,-0.81,-3.00,-0.20,-0.36,0.00
-0.33,-0.97,-4.30,-0.09,-0.52,-0.03
-1.23,-1.87,-7.20,0.15,-0.69,-0.07
-2.07,-2.53,-9.88,0.29,-0.71,-0.19
-3.09,-3.00,-12.90,0.22,-0.61,-0.27
-3.93,-2.22,-15.82,0.01,-0.23,-0.35
-3.82,-0.95,-17.53,-0.08,0.25,-0.34
-4.11,-0.70,-17.73,-0.09,0.79,-0.25
-4.02,-1.01,-17.33,-0.06,1.23,-0.17
-4.45,-1.73,-16.78,0.05,1.50,-0.18
-5.08,-1.93,-15.81,0.08,1.77,-0.30
-5.08,-1.16,-14.83,0.04,2.08,-0.34
-4.44,-0.53,-12.83,-0.13,2.39,-0.25
-4.56,-0.04,-11.13,-0.30,2.63,0.00
-5.67,-0.63,-9.73,-0.23,2.86,0.19
-6.39,-1.65,-7.58,0.04,3.11,0.12
-6.37,-1.78,-4.31,0.24,3.33,-0.05
-6.15,-0.48,-0.68,0.20,3.40,-0.13
-5.69,0.53,2.03,0.16,3.38,-0.06
-5.52,0.34,3.60,0.16,3.38,-0.01
-5.18,-0.48,5.98,0.27,3.47,-0.07
-4.34,-1.10,9.65,0.30,3.51,-0.18
-2.81,-1.31,13.85,0.12,3.42,-0.25
-1.94,-0.50,16.68,-0.12,3.15,-0.28
-0.57,0.49,18.66,0.01,2.80,-0.28
0.48,-0.44,20.01,0.18,2.41,-0.30
1.31,-1.11,20.79,0.17,2.04,-0.40
1.67,-0.83,21.67,0.03,1.69,-0.44
1.74,-0.44,21.97,0.00,1.34,-0.50
1.70,-0.01,22.05,0.04,0.96,-0.53
1.69,-0.31,22.06,-0.02,0.67,-0.51
1.73,-0.33,22.19,-0.17,0.36,-0.52
1.67,-0.01,22.00,-0.27,0.07,-0.52
1.77,0.25,21.44,-0.29,-0.27,-0.59
1.82,0.56,21.26,-0.28,-0.58,-0.69
2.29,2.29,21.33,-0.29,-0.94,-0.71
2.28,2.90,20.49,-0.19,-1.38,-0.59
1.91,2.94,19.69,-0.08,-1.77,-0.47
1.33,2.60,18.66,-0.02,-2.07,-0.35
0.36,1.77,17.99,0.05,-2.28,-0.27
-0.49,1.10,17.40,0.05,-2.46,-0.29
-1.17,0.47,16.73,0.03,-2.64,-0.40
-1.32,2.50,17.78,-0.23,-2.96,-0.41
-2.25,4.75,15.88,-0.41,-3.64,-0.10
-3.84,3.70,11.98,-0.16,-4.20,0.18
-5.61,1.63,9.06,-0.05,-4.41,0.27
-6.59,0.79,8.09,-0.27,-4.45,0.34
-7.51,1.39,6.45,-0.62,-4.61,0.44
-9.46,1.01,2.95,-0.69,-4.69,0.50
-9.18,1.11,0.71,-0.70,-4.73,0.28
-11.03,3.47,-1.38,-0.28,-4.88,0.13
-11.55,3.77,-3.37,0.16,-5.09,0.29
-13.77,1.07,-7.57,0.28,-5.40,0.59
-15.45,-1.14,-13.84,0.22,-5.38,0.59
