aX,aY,aZ,gX,gY,gZ
15.27,-6.27,27.23,0.29,0.29,-0.32
13.84,-3.93,25.93,-0.40,0.03,-0.58
11.14,-0.63,23.52,-0.68,-0.21,-0.68
8.53,3.30,20.90,-0.50,-0.26,-0.50
6.15,3.64,20.20,0.16,-0.17,-0.14
3.85,0.14,21.28,0.65,-0.21,-0.03
2.64,-1.93,21.87,0.39,-0.36,-0.19
1.34,-1.81,21.85,-0.38,-0.50,-0.33
-0.25,0.43,20.12,-1.00,-0.60,-0.48
-1.23,3.96,18.78,-1.06,-0.43,-0.41
-1.16,4.96,18.82,-0.42,-0.27,-0.18
-1.17,3.44,19.32,0.16,-0.14,0.07
-0.64,1.50,20.13,0.33,-0.12,0.16
-0.39,0.44,20.63,0.21,-0.20,0.17
-0.38,0.37,20.09,0.01,-0.30,0.13
6.66,-1.41,18.98,0.11,0.19,-0.11
7.66,-1.59,18.93,0.03,0.23,-0.19
8.47,-1.24,19.16,-0.02,0.32,-0.29
10.15,-0.28,19.98,-0.07,0.43,-0.41
12.00,1.00,21.55,-0.14,0.43,-0.42
12.97,1.50,23.25,-0.19,0.25,-0.31
13.19,0.73,24.13,-0.16,-0.09,-0.19
12.97,-0.54,24.32,-0.12,-0.52,-0.16
11.66,-2.29,23.12,-0.24,-0.90,-0.24
10.11,-3.06,21.63,-0.71,-1.03,-0.45
8.44,-2.07,19.09,-1.20,-1.02,-0.59
6.24,0.75,15.99,-1.55,-0.64,-0.57
4.79,3.82,14.54,-1.14,0.00,-0.20
3.35,4.61,16.21,0.03,0.48,0.27
0.96,0.66,21.15,1.26,0.53,0.60
-1.11,-3.58,24.73,1.38,0.18,0.45
-3.02,-5.40,25.42,0.48,-0.26,0.23
-6.08,-4.39,23.38,-0.82,-0.51,0.00
-8.40,-0.38,20.65,-1.50,-0.44,-0.09
-10.48,3.06,17.51,-0.94,-0.19,-0.17
-11.28,4.32,16.36,0.46,0.24,-0.04
-12.75,1.71,18.07,1.67,0.53,0.08
-14.68,-2.55,21.00,2.03,0.61,-0.16
-14.73,-2.26,22.07,1.19,0.68,-0.52
-14.29,1.30,22.85,-0.02,0.72,-0.58
-14.45,4.81,22.39,-0.61,0.65,-0.40
-14.76,6.32,22.05,-0.50,0.54,-0.15
-14.81,5.84,21.99,-0.09,0.38,0.08
-15.13,4.22,21.06,0.19,0.23,0.27
-14.90,1.97,20.70,0.14,0.18,0.40
-14.41,0.48,20.35,-0.20,0.14,0.43
-13.71,0.80,19.87,-0.53,0.09,0.46
-13.37,2.47,20.03,-0.52,0.18,0.46
-11.35,2.44,19.76,-0.16,-0.25,0.79
-11.96,0.56,18.94,0.40,-0.03,0.87
-10.80,-1.17,18.14,0.70,-0.12,0.89
-10.27,-2.26,17.10,0.78,-0.03,0.75
-7.91,-1.33,17.05,0.65,0.08,0.64
-5.92,0.03,17.03,0.47,0.14,0.68
-4.02,0.57,17.18,0.54,0.15,0.67
-1.50,1.48,17.07,0.75,0.13,0.69
0.31,1.29,16.86,0.94,0.16,0.83
0.66,-0.32,16.11,1.12,0.29,0.82
2.29,-1.30,15.72,1.27,0.55,0.54
5.08,-1.08,17.15,1.23,0.87,0.28
8.05,0.11,19.65,1.10,1.13,0.22
10.32,0.67,22.24,1.02,1.25,0.21
12.28,0.79,24.89,1.12,1.22,0.22
13.84,0.04,26.72,1.24,1.01,0.22
14.59,-1.29,27.01,1.17,0.69,0.19
14.86,-2.18,27.18,0.91,0.41,0.11
15.72,-2.10,27.12,0.57,0.18,-0.01
16.69,-1.50,26.86,0.30,-0.01,-0.09
17.49,-1.16,26.25,0.16,-0.18,-0.10
17.94,-1.42,25.31,0.10,-0.32,-0.11
17.72,-2.01,23.92,0.05,-0.43,-0.14
17.62,-2.29,22.76,-0.03,-0.52,-0.24
17.40,-2.61,22.05,-0.25,-0.65,-0.35
16.48,-2.57,20.89,-0.56,-0.82,-0.42
15.51,-1.62,19.90,-0.84,-0.93,-0.52
14.25,-0.22,18.44,-0.94,-0.96,-0.59
12.69,1.94,16.55,-0.86,-0.80,-0.59
11.69,3.88,15.74,-0.53,-0.50,-0.45
10.52,3.41,16.73,0.01,-0.20,-0.28
9.88,1.11,19.93,0.32,-0.17,-0.21
9.05,-1.22,23.14,0.07,-0.52,-0.21
7.52,-1.54,23.15,-0.69,-1.11,-0.31
4.14,1.37,19.91,-1.63,-1.37,-0.29
1.35,5.06,16.60,-1.69,-1.20,-0.03
-1.40,6.49,14.89,-0.86,-0.79,0.34
-3.11,4.64,16.29,0.29,-0.38,0.65
-4.89,-0.01,19.59,1.10,-0.24,0.66
-6.42,-3.85,22.83,0.98,-0.43,0.33
-7.37,-4.28,23.38,-0.07,-0.71,-0.05
-9.56,-1.89,20.01,-1.49,-0.73,-0.17
-11.10,2.38,16.78,-1.81,-0.27,-0.18
-11.98,5.42,16.03,-0.60,0.25,-0.07
-12.93,3.77,17.61,1.36,0.55,-0.11
-13.24,0.37,21.92,2.45,0.57,-0.37
-13.49,-2.01,23.87,1.89,0.36,-0.59
-13.38,-0.93,23.29,0.45,0.28,-0.75
-12.86,2.82,21.21,-0.81,0.28,-0.68
-12.82,5.87,20.11,-0.99,0.39,-0.49
-12.27,6.55,21.21,-0.47,0.43,-0.25
-12.57,4.40,21.72,0.11,0.29,-0.11
-12.89,2.57,21.78,0.16,0.19,-0.07
-12.03,2.19,21.93,-0.27,0.12,-0.01
-11.93,2.66,22.33,-0.74,0.07,0.12
-11.33,2.40,19.80,-0.96,0.01,0.32
-13.21,3.97,19.11,-0.63,-0.31,0.28
-12.26,2.89,18.12,-0.13,0.14,0.26
-10.15,3.06,18.54,0.13,-0.01,0.23
-9.25,2.34,18.54,0.17,0.03,0.30
-6.47,2.02,18.73,-0.11,-0.00,0.42
-4.63,1.49,18.42,-0.35,-0.07,0.51
-2.17,0.84,16.90,-0.27,-0.08,0.34
2.12,1.48,16.49,0.05,0.04,0.11
4.89,1.46,16.77,0.32,0.24,0.05
8.44,1.22,18.36,0.47,0.41,0.03
11.14,0.69,19.40,0.40,0.43,0.07
12.59,-0.74,20.10,0.32,0.45,0.04
15.21,-1.16,21.08,0.30,0.40,-0.06
14.96,-2.13,21.65,0.32,0.28,-0.04
14.20,-2.91,22.01,0.43,0.15,-0.11
13.24,-3.43,22.76,0.52,-0.04,-0.16
11.89,-4.07,22.29,0.35,-0.24,-0.28
10.09,-3.41,21.08,-0.13,-0.21,-0.41
8.74,-0.35,20.82,-0.58,-0.02,-0.48
7.42,2.64,21.03,-0.50,0.14,-0.37
6.34,3.61,21.91,-0.10,0.20,-0.12
5.14,2.75,23.00,0.22,0.14,0.14
3.91,1.23,24.01,0.30,-0.03,0.27
2.71,-0.44,24.04,0.15,-0.26,0.23
1.76,-0.78,22.96,-0.29,-0.45,0.07
0.91,0.85,21.24,-0.71,-0.52,-0.06
0.20,2.47,19.43,-0.70,-0.46,-0.06
-0.29,2.68,18.25,-0.38,-0.31,-0.01
-0.37,2.47,17.97,-0.07,-0.12,0.04
-0.33,2.19,17.93,0.03,0.04,0.14
-0.09,1.44,18.73,0.03,0.09,0.20
2.88,-1.18,19.04,0.10,0.38,-0.20
3.83,-0.76,18.79,0.03,0.40,-0.22
5.11,0.05,18.53,-0.01,0.48,-0.21
6.82,0.71,19.06,0.08,0.62,-0.14
8.42,0.65,20.53,0.24,0.69,-0.02
9.51,0.27,21.68,0.40,0.62,0.01
10.47,0.31,22.43,0.41,0.47,-0.00
11.17,1.14,22.70,0.24,0.31,-0.01
11.56,2.50,22.50,0.01,0.15,0.03
11.76,4.03,22.92,-0.18,0.05,0.24
11.64,4.33,23.41,-0.20,-0.07,0.53
10.95,3.51,23.10,-0.03,-0.27,0.76
9.92,2.50,22.18,0.29,-0.46,0.86
8.80,0.71,20.74,0.65,-0.56,0.86
7.26,-0.84,19.58,0.68,-0.55,0.70
6.11,-1.13,18.79,0.24,-0.45,0.56
4.29,-1.10,18.06,-0.40,-0.23,0.48
2.53,-0.42,17.91,-0.84,0.07,0.47
0.78,0.65,18.20,-0.80,0.30,0.54
0.11,1.45,19.95,-0.21,0.30,0.75
-1.60,-0.13,20.81,0.48,0.04,0.95
-3.89,-2.92,21.04,0.71,-0.30,0.89
-6.28,-4.90,19.43,0.15,-0.47,0.67
-9.46,-4.47,16.86,-0.69,-0.28,0.34
-10.68,-1.23,16.50,-0.96,0.17,0.15
-12.16,1.21,17.08,-0.41,0.56,0.18
-12.86,2.22,19.32,0.60,0.74,0.22
-12.88,1.62,22.39,1.40,0.59,0.24
-13.86,0.82,22.45,1.38,0.30,0.24
-15.02,0.36,21.45,0.77,0.19,0.25
-15.92,0.36,20.71,0.01,0.24,0.19
-15.45,2.63,20.88,-0.41,0.30,0.07
-16.12,4.77,22.93,-0.42,0.57,0.15
-15.44,4.75,22.31,-0.17,-0.09,0.15
-15.02,2.99,22.13,-0.01,0.13,0.30
-13.90,1.83,21.90,-0.19,-0.05,0.40
-14.11,1.86,21.00,-0.35,-0.32,0.47
-13.71,1.99,20.46,-0.22,-0.41,0.53
-12.98,1.05,20.02,0.13,-0.49,0.51
-11.50,-0.07,20.37,0.36,-0.54,0.43
-10.47,-1.38,19.67,0.28,-0.61,0.36
-9.15,-0.77,18.56,-0.02,-0.54,0.23
-7.54,0.88,17.54,-0.29,-0.37,0.23
-5.78,1.59,17.42,-0.19,-0.20,0.30
-4.72,1.27,16.93,0.06,-0.07,0.28
-2.60,1.06,16.88,0.32,0.08,0.17
-0.44,-0.31,17.16,0.44,0.21,0.04
2.21,-1.66,17.87,0.40,0.28,-0.14
3.09,-2.94,17.66,0.23,0.33,-0.40
4.32,-2.42,17.15,0.06,0.53,-0.77
5.68,-1.24,17.86,0.14,0.76,-1.00
6.56,0.15,19.14,0.46,0.94,-1.15
