aX,aY,aZ,gX,gY,gZ
-6.44,14.61,22.05,0.05,-0.67,-2.26
-6.93,15.25,22.24,0.22,-0.75,-2.30
-6.52,16.26,22.71,0.36,-0.90,-2.34
-6.42,17.21,22.37,0.46,-1.17,-2.26
-6.90,17.91,21.08,0.43,-1.46,-2.05
-6.96,18.78,20.42,0.42,-1.71,-1.82
-7.16,18.57,19.75,0.52,-1.97,-1.67
-7.51,19.22,18.89,0.63,-2.19,-1.59
-7.49,19.63,17.96,0.71,-2.39,-1.44
-7.68,20.67,16.95,0.81,-2.63,-1.29
-8.65,21.31,14.56,0.91,-2.85,-1.12
-9.73,22.59,11.99,1.02,-2.93,-0.96
-10.61,23.36,9.42,1.14,-2.93,-0.74
-11.21,23.83,7.60,1.15,-2.83,-0.45
-11.99,24.27,6.37,1.02,-2.70,-0.10
-12.39,24.44,5.64,0.88,-2.52,0.32
-11.65,24.26,5.12,0.80,-2.31,0.64
-10.86,23.82,4.61,0.79,-2.19,0.91
-10.65,23.68,3.59,0.78,-2.12,1.18
-11.02,23.63,1.94,0.76,-2.03,1.51
-11.69,22.66,0.88,0.73,-1.80,1.83
-11.31,21.25,0.80,0.70,-1.51,2.09
-10.78,19.66,1.39,0.69,-1.30,2.31
-10.05,17.74,1.40,0.61,-1.12,2.50
-9.39,16.12,1.10,0.52,-0.96,2.66
-8.67,14.59,0.96,0.45,-0.80,2.75
-8.13,13.41,0.72,0.41,-0.65,2.84
-7.99,12.18,0.75,0.42,-0.51,2.90
-7.74,10.96,0.62,0.40,-0.38,2.93
-7.74,9.80,0.63,0.37,-0.23,2.96
-7.65,8.16,0.30,0.37,-0.09,2.96
-7.58,6.58,-0.41,0.34,0.10,2.91
-7.41,5.69,-0.71,0.33,0.37,2.86
-7.37,4.40,-0.76,0.44,0.56,2.77
-8.02,2.88,-0.99,0.44,0.73,2.69
-8.54,2.05,-0.95,0.42,1.00,2.64
-8.11,0.41,-0.51,0.41,1.29,2.57
-7.37,-1.88,-0.06,0.36,1.55,2.44
-6.57,-3.58,0.34,0.28,1.80,2.28
-5.92,-5.65,0.70,0.16,1.96,2.10
-5.80,-7.12,1.01,-0.03,2.09,1.93
-5.87,-8.09,2.20,-0.16,2.29,1.72
